simTime,stepTime
11.2621,0.000244136
11.2788,0.000236692
11.2954,0.000281746
11.2957,0.000100748
11.3121,0.000341928
11.3288,0.000180127
11.3454,0.000227474
11.3621,0.000136575
11.3788,0.000271467
11.3954,0.000255878
11.4122,0.000365963
11.4288,0.00032185
11.4454,0.000183803
11.4456,0.000115977
11.4621,0.000185316
11.4788,0.000200184
11.4954,0.000147605
11.5121,0.000165198
11.5287,0.000287066
11.5454,0.000129071
11.5621,0.000184183
11.5787,0.000249335
11.5954,0.000184404
11.5956,5.1917e-05
11.6121,0.000228777
11.6288,0.000191267
11.6454,0.000156983
11.6621,0.000222105
11.6787,0.000153757
11.6954,0.000222615
11.7121,0.000269072
11.7287,0.000166431
11.7454,0.000146323
11.7456,7.3197e-05
11.7621,0.000278079
11.7788,0.000327391
11.7954,0.000244136
11.8122,0.000290623
11.8288,0.000159047
11.8454,0.000137236
11.8622,0.000282448
11.8788,0.000249095
11.8954,0.000142836
11.8955,6.0393e-05
11.9121,0.000190004
11.9289,0.000281535
11.9454,0.000603797
11.9621,0.000253133
11.9788,0.000366654
11.9954,0.000165329
12.0121,0.000170559
12.0288,0.000271457
12.0455,0.000147896
12.0456,6.7917e-05
12.0622,0.00019275
12.0788,0.000260175
12.0954,0.000146393
12.1121,0.000168575
12.1287,0.000236411
12.1454,0.000127548
12.1622,0.000551239
12.1788,0.000290893
12.1955,0.000329936
12.1958,0.000212297
12.2121,0.000287376
12.2287,0.000152886
12.2455,0.000351606
12.2622,0.000625187
12.2788,0.000451553
12.2955,0.000455881
12.3122,0.000318104
12.3288,0.000318565
12.3456,0.00035361
12.3459,0.000172191
12.3621,0.000323614
12.3788,0.00032136
12.3955,0.000322762
12.4122,0.000514691
12.4288,0.000333753
12.4455,0.000408052
12.4622,0.000317904
12.479,0.00064275
12.4955,0.000287436
12.4958,0.000185016
12.5122,0.000288419
12.5288,0.000340746
12.5456,0.00052505
12.5622,0.000905971
12.5789,0.000512296
12.5956,0.000582608
12.6122,0.000394176
12.6288,0.000423701
12.6456,0.000403833
12.646,0.000261038
12.6622,0.000382885
12.6789,0.000386913
12.6955,0.00040176
12.7122,0.000384327
12.7289,0.000410096
12.7456,0.000363579
12.7622,0.000406209
12.7789,0.000404114
12.7956,0.000442065
12.796,0.000252702
12.8122,0.000301803
12.8289,0.000406549
12.8455,0.000488061
12.8622,0.000883429
12.8789,0.000563151
12.8956,0.000552952
12.9122,0.000390008
12.9288,0.000397822
12.9456,0.00031601
12.9459,0.000258222
12.9622,0.000414403
12.9789,0.000306482
12.9955,0.000413943
13.0123,0.000361404
13.0289,0.00040154
13.0455,0.000422589
13.0622,0.000345325
13.079,0.000546821
13.0955,0.000419393
13.096,0.000276826
13.1122,0.000305099
13.1289,0.000315419
13.1455,0.000510823
13.1622,0.000704144
13.1789,0.000468946
13.1955,0.00054158
13.2122,0.000332371
13.2289,0.000409144
13.2456,0.000200364
13.2458,0.000103313
13.2622,0.000411157
13.2789,0.000333252
13.2956,0.000496977
13.3123,0.000398604
13.3289,0.000308836
13.3455,0.000183612
13.3622,0.000420455
13.3789,0.00025719
13.3956,0.000222435
13.3958,0.000106118
13.4122,0.000489133
13.4289,0.000254595
13.4456,0.000430463
13.4622,0.000307333
13.4789,0.000487189
13.4955,0.000288879
13.5122,0.00030539
13.529,0.000265145
13.5457,0.000463756
13.5461,0.000132708
13.5622,0.000300451
13.5789,0.000389076
13.5956,0.000786148
13.6122,0.000334113
13.6289,0.000295742
13.6456,0.000564073
13.6623,0.000272128
13.679,0.000394857
13.6957,0.000437567
13.6961,0.000212286
13.7123,0.000306342
13.7289,0.00029494
13.7456,0.000227144
13.7623,0.000333171
13.779,0.000710617
13.7957,0.000495164
13.8123,0.00046071
13.8289,0.000214881
13.8457,0.000254084
13.8459,0.000190816
13.8623,0.00072861
13.8789,0.00034811
13.8956,0.000345966
13.9123,0.000522826
13.929,0.000255216
13.9456,0.000328083
13.9623,0.00057826
13.979,0.000448187
13.9957,0.00054652
13.9962,0.000402982
14.0123,0.000354642
14.029,0.000564554
14.0456,0.000415816
14.0623,0.000537654
14.079,0.000512426
14.0956,0.000536772
14.1123,0.000692543
14.129,0.000587958
14.1457,0.000515883
14.1463,0.000316321
14.1623,0.000541751
14.179,0.000483803
14.1957,0.000528025
14.2123,0.00041805
14.229,0.000502157
14.2457,0.000513799
14.2623,0.00106769
14.279,0.0005573
14.2957,0.000565826
14.2963,0.000392072
14.3124,0.000489093
14.329,0.000322111
14.3457,0.000783232
14.3624,0.00139152
14.379,0.00107069
14.3957,0.00067473
14.4123,0.000636578
14.429,0.00073411
14.4457,0.000719413
14.4465,0.000592576
14.4624,0.000714354
14.4791,0.000834808
14.4957,0.00139502
14.5123,0.000962908
